address,capacity,lat,lon,name,project
37 - Posto 9,15,-22.9863129,-43.2008942,37 - Posto 9,BikeRio
38 - Garcia DÁvila,23,-22.985743,-43.2093593,38 - Garcia DÁvila,BikeRio
39 - Aníbal de Mendonça,11,-22.9863269,-43.211349,39 - Aníbal de Mendonça,BikeRio
40 - Afrânio,19,-22.986241,-43.217434,40 - Afrânio,BikeRio
41 - Maria Quitéria,23,-22.9808258,-43.2069995,41 - Maria Quitéria,BikeRio
42 - Epitácio Pessoa,17,-22.9788299,-43.2010788,42 - Epitácio Pessoa,BikeRio
43 - Parque da Catacumba,17,-22.9757502,-43.2003125,43 - Parque da Catacumba,BikeRio
44 - Epitácio Pessoa 4224,23,-22.9696671,-43.205777,44 - Epitácio Pessoa 4224,BikeRio
45 - Epitácio Pessoa 4794,19,-22.9657931,-43.2035163,45 - Epitácio Pessoa 4794,BikeRio
"Avenida Borges de Medeiros, oposto ao N 2415, no canteiro central",22,-22.966468,-43.21673,46 - Clube Piraquê,BikeRio
47 - Parque dos Patins,17,-22.9725162,-43.217594,47 - Parque dos Patins,BikeRio
49 - Shopping da Gávea,15,-22.9756941,-43.2278443,49 - Shopping da Gávea,BikeRio
50 - Praça Sibélius,23,-22.9779132,-43.2263925,50 - Praça Sibélius,BikeRio
51 - Cidade Nova,17,-22.9107023,-43.2056476,51 - Cidade Nova,BikeRio
52 - Medalha Milagrosa,15,-22.915679,-43.212376,52 - Medalha Milagrosa,BikeRio
53 - Gaffrée e Guinle,11,-22.915922,-43.2216217,53 - Gaffrée e Guinle,BikeRio
54 - Morais e Silva,19,-22.9121705,-43.2221993,54 - Morais e Silva,BikeRio
